Index,volatility20A,volatility20AAL,volatility20AAP,volatility20AAPL,volatility20ABBV,volatility20ABC,volatility20ABMD,volatility20ABT,volatility20ACN,volatility20ADBE,volatility20ADI,volatility20ADM,volatility20ADP,volatility20ADS,volatility20ADSK,volatility20AEE,volatility20AEP,volatility20AES,volatility20AFL,volatility20AGN,volatility20AIG,volatility20AIV,volatility20AIZ,volatility20AJG
2016-08-31,0.201247807470505,0.224258332963953,0.161608920309737,0.0728769954988834,0.106593516131312,0.203293403971248,0.234208253540465,0.136205716313389,0.108350457986453,0.0648999231086964,0.0990600292589987,0.190660729369718,0.0275179425083861,0.184777551813198,0.442552638762401,0.149719291960264,0.176417352699125,0.168052144029616,0.0937892109164107,0.255202188096317,0.0451010751145387,0.18946057145862,0.0819250891685467,0.0842022754025717
2016-09-01,0.167752180105778,0.223146890348266,0.167434253863069,0.0828697620935789,0.0932999798197227,0.204760574217759,0.233750890348414,0.151956851907948,0.106470237744785,0.0592200342597332,0.114231295592149,0.206581640360589,0.0563098578476079,0.214311728706809,0.444013666980989,0.134712351573169,0.164362815822488,0.125333422157496,0.0939153344383063,0.278455999302357,0.0627627552125562,0.172674202824704,0.0867294868430296,0.0843398919826895
2016-09-02,0.167977971109651,0.212881028097933,0.167074984597649,0.0983215335460197,0.0980422351224412,0.206865976469502,0.233297592116584,0.15057841374933,0.105223633527098,0.057679577515265,0.114085310534137,0.221584757497598,0.0596007394161698,0.216831225338776,0.436827073651573,0.1518280611805,0.184550950636615,0.162344186768596,0.0893590948780725,0.273631971669551,0.0719021867912603,0.174669746361725,0.0905350780915535,0.0976190575398475
2016-09-06,0.16357422095653,0.21384672668479,0.17324663196425,0.0955622279763503,0.106239899670067,0.206522830462473,0.234611877537856,0.15503985251721,0.0704226799537087,0.0517751225348768,0.117657809864767,0.218085093853688,0.0689379959486386,0.223327162715078,0.441534518260181,0.154037728153219,0.19944401461924,0.301255524320375,0.0960039635518927,0.295602260040116,0.0853254978084734,0.194001679328259,0.0993383830687448,0.080376470278459
2016-09-07,0.0990936801791825,0.326395906621791,0.16329384925327,0.0941308438009585,0.070975664875974,0.204672637460249,0.169017413260153,0.137219094043823,0.0546554232312279,0.0645356992907036,0.117549982328953,0.189522258349652,0.0663438149939312,0.176747929637987,0.436516929320631,0.156128769751924,0.199324528192943,0.291408884189364,0.0966184724866007,0.214265711455645,0.0848415724865728,0.183293130649163,0.0983326065759303,0.0835487783466185
2016-09-08,0.0741813714347025,0.328663555834643,0.195322454961052,0.172886019633401,0.101189003346503,0.076800799923176,0.167685743763415,0.134934937823813,0.142890350299444,0.0909977388980954,0.117176004288065,0.190119987746268,0.0730268754756755,0.176891831360019,0.437762685330706,0.155556092312725,0.199377844276883,0.300675365476049,0.106738263637981,0.155533757297584,0.0916922096368588,0.245520232374278,0.0980578839698082,0.0913367342899197
2016-09-09,0.256789100301103,0.349400921317447,0.261398031492237,0.205939816322823,0.114323107757909,0.15432285436572,0.222766345735362,0.158893362956551,0.159525457769869,0.15927494300363,0.180487190622002,0.25075148278334,0.189317087991367,0.31124103265638,0.198530142972429,0.226539013731006,0.248363782306265,0.425114553312775,0.112928385065286,0.200822743777853,0.0975437365992789,0.322766968684336,0.114252143852143,0.165663072545029
2016-09-12,0.284514173648332,0.351356123640055,0.25909043589008,0.249919880439554,0.135492258241476,0.184718187184888,0.250335900974242,0.168489243896887,0.212516309374061,0.171018070033788,0.217661563055133,0.274606952269266,0.223679905826696,0.35138554297269,0.204197588472455,0.244681812183638,0.261475369569432,0.434609440182656,0.116940127738866,0.217165957896069,0.0940593867004439,0.318558464479036,0.114930195232336,0.191246303227037
2016-09-13,0.293734305509375,0.371489438849185,0.265877443029769,0.27915677097581,0.146099441469862,0.215319154743145,0.258508161854927,0.183961107452974,0.228376494984993,0.185706878181991,0.216361754333446,0.294482729819874,0.235196447594032,0.373938302529989,0.236312335797607,0.252918172660212,0.262624278927213,0.441258207710296,0.15246974412925,0.217494478987712,0.109726715918021,0.348937787768469,0.158062198456244,0.203351068475891
2016-09-14,0.294600241020751,0.38419800556436,0.261028842645316,0.329567134846705,0.146288605192551,0.216805196653526,0.257371706867849,0.171537639648556,0.228320659842725,0.183035369510047,0.22574045302615,0.279667646408458,0.235072481510406,0.367958074566732,0.233973701633942,0.258426867623898,0.262293441545946,0.443839557829812,0.15302198558806,0.223698861485265,0.103981833684519,0.350488826455325,0.169258586175336,0.204124118597716
2016-09-15,0.309496168996666,0.38402088976217,0.249550960443876,0.361559150834413,0.146507461100022,0.219013933051531,0.326475622673951,0.173335291068437,0.238279920131393,0.187987086935599,0.277088224910146,0.279298023534562,0.235041406408592,0.344966619289744,0.289267490614888,0.259012516957155,0.263572595561296,0.449264095654593,0.16409925661662,0.21775960649397,0.119030042936443,0.349936059555963,0.176029593916731,0.214178873450666
2016-09-16,0.313399441408601,0.404673616590352,0.247284446831459,0.369762786692146,0.145673408916193,0.21560096816988,0.326866016077946,0.206517291690178,0.231583195516335,0.178166655305419,0.280642229490384,0.25765053619613,0.236042750343353,0.346435879091338,0.284522789878485,0.266637379706213,0.256950637614865,0.442574683874494,0.172969678862309,0.2137961688375,0.116507715223981,0.341034198303454,0.159405277504796,0.209159401210261
2016-09-19,0.316431366251626,0.394991787118755,0.232781157396087,0.382180852109611,0.135908440531017,0.213723956967923,0.328075538717458,0.207020878848608,0.239251318541713,0.18989931530344,0.282436454535,0.258457169330991,0.236207960786934,0.339664262748914,0.286693123841546,0.276508250973114,0.252754417023602,0.354865526826903,0.187528745657288,0.207209276073272,0.115559513757545,0.318734216386872,0.20056204497347,0.211320655162621
2016-09-20,0.335328849704665,0.239903230881415,0.20463459845408,0.383523165370527,0.136543958014347,0.213485396924686,0.329438819582974,0.20509195961423,0.241580957723557,0.203214696306565,0.264023677165786,0.256785530583607,0.255198925321203,0.338566844557325,0.282031748247166,0.275916274015176,0.254126552854463,0.345365466594277,0.193021742577184,0.263293246812094,0.116428232591266,0.329074467834792,0.200278448179222,0.20701511314369
2016-09-21,0.34013664767123,0.180169075831257,0.212997383543913,0.335716640897946,0.14167688018794,0.236482487282522,0.332818235842423,0.210651143222449,0.215477393925851,0.426043775937045,0.271906878967372,0.264273447475719,0.266646727692557,0.339933489878392,0.358623500756976,0.295168975698124,0.275646343304657,0.372556520830687,0.206048939465766,0.25032166752382,0.121085378201065,0.315784947670805,0.218874675240209,0.216421362071261
2016-09-22,0.217387552260267,0.235609714544164,0.180602503663779,0.278635294123218,0.145057777181634,0.219497393937541,0.264547647075804,0.172111178987127,0.209109882889689,0.385239816320776,0.185211348402173,0.205541812179621,0.182904589199813,0.244569240338519,0.295516705251046,0.174719747075378,0.161375528395562,0.214848043236301,0.200060575878822,0.241575010198515,0.147995633837351,0.245732078475692,0.21333884654123,0.166203836081339
